Temporada,Nombre,Goles
00-01,Raúl,24
00-01,Rivaldo,23
00-01,Javi Moreno,22
00-01,Tristán,19
00-01,Kluivert,18
00-01,Dely Valdés,17
00-01,Catanha,16
00-01,Makaay,16
00-01,Oli,15
00-01,Iván Rosado,14
00-01,Guti,14
00-01,Víctor,14
00-01,Darío Silva,13
00-01,Jamelli,13
00-01,Juan Sánchez,12
00-01,Tamudo,11
00-01,Eto'o,11
00-01,Jankauskas,11
00-01,Carew,11
00-01,Esnáider,11
00-01,Urzaiz,10
00-01,Ibagaza,10
00-01,Míchel,10
00-01,Mendieta,10
00-01,Luis Enrique,9
00-01,Mostovoi,9
00-01,Djalminha,9
00-01,Luque,9
00-01,Mazzoni,9
00-01,Luis Cembranos,9
00-01,Figo,9
00-01,De Paula,9
00-01,Iván Alonso,8
00-01,Overmars,8
00-01,Guayre,8
00-01,Rosu,8
00-01,Bolic,8
00-01,Bolo,8
00-01,Jorge López,8
00-01,Pandiani,7
00-01,Rubén Navarro,7
00-01,Amavisca,7
00-01,Idiakez,7
00-01,Yeste,6
00-01,Velamazán,6
00-01,Orlando,6
00-01,Tomic,6
00-01,Quevedo,6
00-01,Morientes,6
00-01,Kaviedes,6
00-01,Pachón,6
00-01,Craioveanu,6
00-01,Palermo,6
00-01,José Ignacio,6
00-01,Etxeberría,5
00-01,Gustavo López,5
00-01,Karpin,5
00-01,Víctor,5
00-01,Finidi,5
00-01,José Manuel,5
00-01,Àlex Fernández,5
00-01,Armentano,5
00-01,Iván Ania,5
00-01,Hierro,5
00-01,Helguera,5
00-01,Roberto Carlos,5
00-01,De Pedro,5
00-01,Vicente,5
00-01,Caminero,5
00-01,Fernando,5
00-01,Guerrero,4
00-01,Larrazábal,4
00-01,Valerón,4
00-01,Posse,4
00-01,Sergio,4
00-01,Álvaro,4
00-01,Oulare,4
00-01,Agostinho,4
00-01,Rufete,4
00-01,Zárate,4
00-01,Carlitos,4
00-01,Marcos,4
00-01,Caco Morán,4
00-01,Ojeda,4
00-01,Danjou,4
