Temporada,Jornada,Fecha,Equipo local,Goles local,Goles visita,Equipo visitante
00-01,Jornada 1,9/9/2000,Barcelona,2,1,Málaga
00-01,Jornada 1,9/9/2000,Deportivo de La Coruña,2,0,Athletic Club
00-01,Jornada 1,9/9/2000,Real Sociedad,2,2,Racing de Santander
00-01,Jornada 1,9/9/2000,Real Madrid,2,1,Valencia
00-01,Jornada 1,9/9/2000,Real Zaragoza,1,2,Espanyol
00-01,Jornada 1,9/10/2000,Las Palmas,0,3,Alavés
00-01,Jornada 1,9/10/2000,Mallorca,1,1,Valladolid
00-01,Jornada 1,9/10/2000,Numancia,1,0,Real Oviedo
00-01,Jornada 1,9/10/2000,Osasuna,0,2,Celta de Vigo
00-01,Jornada 1,9/10/2000,Villarreal,1,5,Rayo Vallecano
00-01,Jornada 2,9/16/2000,Athletic Club,3,1,Barcelona
00-01,Jornada 2,9/16/2000,Málaga,3,3,Real Madrid
00-01,Jornada 2,9/16/2000,Racing de Santander,0,3,Deportivo de La Coruña
00-01,Jornada 2,9/16/2000,Valencia,4,0,Mallorca
00-01,Jornada 2,9/16/2000,Valladolid,2,0,Numancia
00-01,Jornada 2,9/17/2000,Celta de Vigo,4,1,Real Sociedad
00-01,Jornada 2,9/17/2000,Alavés,0,1,Villarreal
00-01,Jornada 2,9/17/2000,Espanyol,1,2,Osasuna
00-01,Jornada 2,9/17/2000,Rayo Vallecano,0,0,Real Zaragoza
00-01,Jornada 2,9/17/2000,Real Oviedo,2,2,Las Palmas
00-01,Jornada 3,9/23/2000,Barcelona,3,1,Racing de Santander
00-01,Jornada 3,9/23/2000,Las Palmas,1,1,Valladolid
00-01,Jornada 3,9/23/2000,Real Sociedad,1,1,Deportivo de La Coruña
00-01,Jornada 3,9/23/2000,Real Madrid,4,1,Athletic Club
00-01,Jornada 3,9/23/2000,Real Zaragoza,2,2,Alavés
00-01,Jornada 3,9/24/2000,Celta de Vigo,1,0,Espanyol
00-01,Jornada 3,9/24/2000,Mallorca,0,1,Málaga
00-01,Jornada 3,9/24/2000,Numancia,0,3,Valencia
00-01,Jornada 3,9/24/2000,Osasuna,2,2,Rayo Vallecano
00-01,Jornada 3,9/24/2000,Villarreal,1,0,Real Oviedo
00-01,Jornada 4,9/30/2000,Racing de Santander,0,0,Real Madrid
00-01,Jornada 4,10/1/2000,Athletic Club,2,1,Mallorca
00-01,Jornada 4,10/1/2000,Alavés,2,0,Osasuna
00-01,Jornada 4,10/1/2000,Deportivo de La Coruña,2,0,Barcelona
00-01,Jornada 4,10/1/2000,Málaga,1,3,Numancia
00-01,Jornada 4,10/1/2000,Rayo Vallecano,3,0,Celta de Vigo
00-01,Jornada 4,10/1/2000,Real Oviedo,2,1,Real Zaragoza
00-01,Jornada 4,10/1/2000,Valencia,5,1,Las Palmas
00-01,Jornada 4,10/1/2000,Valladolid,0,0,Villarreal
00-01,Jornada 4,10/18/2000,Espanyol,1,2,Real Sociedad
00-01,Jornada 5,10/14/2000,Espanyol,0,0,Rayo Vallecano
00-01,Jornada 5,10/14/2000,Las Palmas,2,1,Málaga
00-01,Jornada 5,10/14/2000,Real Sociedad,0,6,Barcelona
00-01,Jornada 5,10/14/2000,Real Madrid,3,0,Deportivo de La Coruña
00-01,Jornada 5,10/14/2000,Villarreal,1,1,Valencia
00-01,Jornada 5,10/15/2000,Celta de Vigo,1,1,Alavés
00-01,Jornada 5,10/15/2000,Mallorca,2,1,Racing de Santander
00-01,Jornada 5,10/15/2000,Numancia,0,0,Athletic Club
00-01,Jornada 5,10/15/2000,Osasuna,0,0,Real Oviedo
00-01,Jornada 5,10/15/2000,Real Zaragoza,0,0,Valladolid
00-01,Jornada 6,10/21/2000,Barcelona,2,0,Real Madrid
00-01,Jornada 6,10/21/2000,Deportivo de La Coruña,1,1,Mallorca
00-01,Jornada 6,10/21/2000,Valencia,1,0,Real Zaragoza
00-01,Jornada 6,10/22/2000,Athletic Club,0,3,Las Palmas
00-01,Jornada 6,10/22/2000,Alavés,1,0,Espanyol
00-01,Jornada 6,10/22/2000,Málaga,2,1,Villarreal
00-01,Jornada 6,10/22/2000,Racing de Santander,4,2,Numancia
00-01,Jornada 6,10/22/2000,Rayo Vallecano,4,1,Real Sociedad
00-01,Jornada 6,10/22/2000,Real Oviedo,3,1,Celta de Vigo
00-01,Jornada 6,10/22/2000,Valladolid,1,1,Osasuna
00-01,Jornada 7,10/28/2000,Las Palmas,2,1,Racing de Santander
00-01,Jornada 7,10/28/2000,Mallorca,2,0,Barcelona
00-01,Jornada 7,10/28/2000,Numancia,1,2,Deportivo de La Coruña
00-01,Jornada 7,10/28/2000,Villarreal,0,0,Athletic Club
00-01,Jornada 7,10/28/2000,Real Zaragoza,1,1,Málaga
00-01,Jornada 7,10/29/2000,Celta de Vigo,2,1,Valladolid
00-01,Jornada 7,10/29/2000,Espanyol,2,0,Real Oviedo
00-01,Jornada 7,10/29/2000,Osasuna,1,2,Valencia
00-01,Jornada 7,10/29/2000,Real Sociedad,1,4,Real Madrid
00-01,Jornada 7,10/29/2000,Rayo Vallecano,0,1,Alavés
00-01,Jornada 8,10/31/2000,Deportivo de La Coruña,4,0,Las Palmas
00-01,Jornada 8,11/1/2000,Athletic Club,1,2,Real Zaragoza
00-01,Jornada 8,11/1/2000,Barcelona,1,1,Numancia
00-01,Jornada 8,11/1/2000,Alavés,0,1,Real Sociedad
00-01,Jornada 8,11/1/2000,Málaga,3,1,Osasuna
